Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
6732.0,-1.25907713503554,0.9218573408669058,2.27966033264198,0.597592310193047,0.514403777306425,0.107890164522759,1.11778713779759,-0.32471474260960304,-0.00257072752461129,-0.0727410306484702,2.00507810868507,-2.02712574358624,2.30812587861958,1.1942127683352,-1.3161086804823798,1.22101422745602,-0.593598076335835,0.138747705096569,-0.859660401108164,-0.21137065117303896,-0.49122190847705,-1.02294790581923,0.14221373583451502,-0.0492595588831145,0.0244689596321586,0.44662508500762893,-0.382243080707754,-0.269859354853413,73.3,0
6733.0,-2.7990655461847402,-0.488256082808553,-1.50397282398329,-3.3132664440617,-0.40219230303196507,4.038048498505161,0.161406267086772,1.8333095036709601,2.51335788698059,-3.26853612743017,-0.20552709201446998,-1.55019030667053,1.5728561024518501,1.8039349840658798,-1.50607030753164,0.5649747592974771,0.301315548492807,0.490015596707384,-0.318247188240214,-0.723495816549107,-0.24338208096837396,-0.587673766591109,-0.173785928181201,1.03057838648251,-0.00232051192012067,-0.49462630406423097,-0.159813842703047,-0.44222083243885496,408.59,0
6734.0,1.01263332141644,0.18547494935441602,1.85702487021728,2.62565911252334,-0.8136662995920161,0.7411904915027109,-1.05053604861189,0.41145390187418496,1.07823173576978,0.410753502855231,2.23791207718175,-2.31050640206077,0.7711479403296428,1.6474831204663203,0.00591579329869313,1.16825363080345,-0.0447225115495436,0.8383847886458571,-1.7663180318857699,-0.24051001930767,0.167709881432258,0.665263171756178,0.0342445334981642,0.14937564770679201,0.0614590992665992,0.0737273075898671,0.0246265602029036,0.02336111434784,12.14,0
6736.0,1.2632715485400299,0.361720653263953,0.653247442539303,0.823856674927889,-0.404813982717682,-0.943699171780943,-0.0310873614286052,-0.285591060118102,1.3312339377150801,-0.43617955824446497,0.7268592087862521,-2.1424170721577003,1.94925406134024,1.6750242720866,0.29542319485931,0.27509609133986795,0.30814788643110996,-0.26675737976381,-0.320571179333052,-0.13642581610651,-0.40818148711685504,-0.932055747452596,0.14763409998941102,0.313540567725838,0.194615858783672,0.0562643540417276,-0.0558723947040877,0.012581663546153999,1.98,0
6738.0,1.04112906316704,-0.136980143105866,1.61176316549283,1.2665379597656499,-1.0478975660226801,0.374091571712974,-1.08965648173438,0.365252167647889,1.9399516851583898,-0.27149142304505197,2.31536008753523,-2.2500954106975097,0.27453272382246396,1.79419622085477,0.5244043012847021,0.641067452537908,0.15643392254361702,1.03205334276076,-1.12806990773799,-0.24593292786262802,0.184673447430486,0.7483252613526759,-0.00977317045176069,0.132448003128056,0.163238063163821,-0.288828817116082,0.0515911851361899,0.0245200334193091,19.99,0
6743.0,-1.41897126601049,0.39572301840380997,2.4871076983256497,1.6522492208605501,1.31013594252147,-0.6479789569683121,0.895286836065037,-0.41898382972789705,0.0889744850041115,0.333837815401937,2.1037810935998,-2.80649852124685,0.516491190885228,1.56073143579133,-1.38554202119124,0.72310396164172,-0.41965307366875,0.5684378661850781,-1.4484376410035802,-0.026224024169561003,-0.107747878138379,-0.0355543531016093,-0.16301169296056198,0.43037243982659795,0.47217769349824296,-0.17729616864466802,-0.533188495838952,-0.286673759317752,31.24,0
6743.0,-0.8609419602760251,1.57992905694192,1.18342087925875,0.914912587404703,0.40740773212428005,-0.252676197881472,0.715645647919229,-0.212383458417221,0.875982338386893,0.0565665999105891,0.921707985932688,-1.8380973145227502,2.95566804646792,1.3687146630091598,0.42635692571084904,-0.7567764433728761,0.7209758578123922,-0.268120341006812,-0.192764778240101,0.21604779930096998,-0.00368366202277141,0.499030214331743,-0.128377345860582,0.0609311721831713,-0.218902026863101,-0.35163798156082005,0.248759494739649,0.30588866177680796,16.89,0
6745.0,-0.413972310221646,1.0422110631202,1.36868585863346,0.242157218543727,0.16381266907265699,-0.506044988492596,0.452030783403474,0.0664916258712286,1.10355021062782,-0.8883881904024179,0.711400404354835,-3.2675425097542403,0.298186853694304,1.32263199015623,0.568001289904337,0.129327040024997,1.10154499030284,-0.133535020981681,-0.6447556542509321,-0.0295724753933139,-0.39641141903650606,-0.881245318728687,0.0672464426954568,-0.0787302680738991,-0.30099704734571503,0.0675628507416014,0.222296569402213,0.0864793701773414,10.99,0
6746.0,-0.8426277768857579,1.2530656117456398,0.449811181655127,-1.5700141307314501,3.7659478850801498,3.4224298184427,1.86349177446325,-1.0779967031720799,2.70346381816122,2.67467925194146,1.50547011560922,-3.53460735205608,1.2528851862008101,-0.163769987612344,0.33072966958654604,-0.629908733260213,-0.9175529054602108,0.116395186661465,0.12674189650316098,1.22833923450388,-0.674141133344523,-0.257167047688174,-0.473643997066949,0.951461310705994,0.0511910510144477,0.0403678765648247,-1.0240289108165501,-1.3778196168337398,1.0,0
6747.0,0.8471824789620541,-0.20764022800908,1.49579766974134,2.03689555257034,-0.749207116827505,0.6755591846902861,-0.6714938979203139,0.197936059074138,0.95592432681022,0.0975122988477938,2.4762460406856404,-1.04232305540803,2.7635104426754507,1.1046465888703,-1.0905877338512802,0.619279310501126,0.31623919119047494,-0.006513129155051279,-1.16354248540445,0.141271253382384,0.0946346458919054,0.408060046446077,-0.0681059166860878,0.26084980139642605,0.0321185092394658,0.9833993293018549,-0.061410480861622,0.0249511839050933,121.53,0
